time,cpu_usage,memory_usage,net_upload,net_download
12:19:54,0.0,72.5,0.0,0.01
12:20:59,0.0,73.0,0.0,0.01
12:20:59,0.0,73.0,0.0,0.0
12:20:59,18.6,73.0,0.0,0.0
12:21:00,12.8,73.0,0.0,0.0
12:21:01,23.4,73.0,0.0,0.0
12:21:02,15.3,73.1,0.0,0.0
12:21:04,22.3,73.1,0.0,0.0
12:21:06,12.4,73.2,0.0,0.0
12:21:08,22.1,73.2,0.0,0.0
12:21:10,13.0,73.1,0.01,0.0
12:21:12,6.6,73.1,0.0,0.0
12:21:14,10.9,72.9,0.0,0.0
12:21:16,17.5,73.0,0.0,0.0
12:21:18,13.0,73.1,0.0,0.01
12:21:20,9.6,73.1,0.0,0.0
12:21:22,11.6,73.5,0.03,0.82
12:21:24,24.7,73.8,0.05,0.46
12:21:26,17.8,74.3,0.05,0.12
12:21:28,12.2,74.5,0.03,0.07
12:21:30,17.0,74.5,0.01,0.09
12:21:32,13.6,74.5,0.01,0.06
12:21:34,12.0,74.5,0.0,0.0
12:21:36,5.7,74.3,0.0,0.0
12:21:38,18.0,74.3,0.01,0.02
12:21:41,8.9,74.9,0.0,0.0
12:21:42,26.1,74.7,0.01,0.01
12:21:44,20.0,74.6,0.01,0.0
12:21:46,21.3,74.5,0.01,0.01
12:21:48,10.9,74.4,0.1,0.01
12:21:50,8.0,74.6,0.0,0.01
12:21:52,4.0,74.5,0.01,0.01
12:21:54,14.9,74.5,0.0,0.0
12:21:56,7.7,74.5,0.01,0.0
12:21:58,11.0,74.5,0.0,0.0
12:22:00,10.1,74.4,0.0,0.0
12:22:02,7.9,74.4,0.0,0.0
12:22:04,16.1,74.3,0.0,0.0
12:22:06,18.2,74.5,0.04,0.02
12:22:08,10.3,74.6,0.0,0.01
12:22:08,0.0,74.7,0.0,0.01
12:22:10,20.7,74.6,0.01,0.01
12:22:12,16.1,74.1,0.02,0.57
12:22:15,23.8,73.9,0.01,0.35
12:22:15,21.5,73.8,0.01,0.27
12:22:16,27.5,73.9,0.01,0.3
12:22:18,18.1,73.8,0.01,0.23
12:22:20,18.6,73.7,0.0,0.01
12:22:22,11.7,73.7,0.0,0.0
12:22:24,18.8,73.6,0.0,0.0
12:22:26,16.8,73.3,0.0,0.01
12:22:28,10.0,73.2,0.0,0.0
12:22:30,12.5,73.3,0.0,0.03
12:22:32,16.1,73.2,0.0,0.0
12:22:34,15.1,73.1,0.01,0.01
12:22:36,7.4,73.0,0.01,0.01
12:22:38,16.5,72.9,0.01,0.02
12:22:40,14.9,72.8,0.0,0.0
12:22:42,10.7,72.9,0.0,0.0
12:22:44,18.4,73.0,0.0,0.0
12:22:46,15.9,72.9,0.0,0.0
12:22:48,10.7,72.8,0.0,0.0
12:22:50,9.5,72.8,0.0,0.0
12:22:52,13.0,72.8,0.0,0.0
12:22:54,21.0,72.9,0.0,0.0
12:22:56,9.2,72.9,0.01,0.02
12:22:58,11.1,72.8,0.01,0.01
12:23:00,10.1,72.8,0.0,0.01
12:23:02,6.2,72.8,0.02,0.01
12:23:04,13.9,72.9,0.01,0.01
12:23:06,12.0,72.8,0.0,0.01
12:23:08,11.8,72.8,0.01,0.0
12:23:10,11.1,72.8,0.0,0.0
12:23:12,11.0,72.8,0.01,0.04
12:23:14,21.3,72.9,0.0,0.0
12:23:16,21.4,72.7,0.0,0.0
12:23:18,15.3,72.7,0.0,0.0
12:23:20,16.1,72.8,0.0,0.0
12:23:37,9.0,73.0,0.0,0.0
12:23:38,34.7,73.1,0.0,0.01
12:23:40,17.1,73.1,0.12,0.02
12:23:42,8.5,73.0,0.0,0.0
12:23:44,15.2,72.8,0.0,0.0
12:23:46,11.9,72.8,0.0,0.0
12:23:48,11.9,72.9,0.01,0.01
